app,requested_times,allocated_memory
app-2,5.704999999999998,1300.0
app-5,27.914,1700.0
app-1,39.93300000000001,1000
app-3,45.003,0.0
app-4,48.202,0.0
app-4,50.376000000000005,0.0
app-3,71.853,0.0
app-4,126.53200000000001,1300.0
app-2,126.53200000000001,0.0
app-1,150.72,1500
app-5,150.72,0.0
app-5,159.726,1250.0
app-2,207.96300000000002,0.0
app-1,286.355,1500
app-5,339.726,1700.0
app-4,339.726,0.0
app-4,347.48,500.0
app-5,461.362,0.0
app-3,461.362,1700.0
app-1,462.985,1500
app-5,527.464,800.0
app-4,527.464,0.0
app-2,548.053,0.0
app-3,576.865,1700.0
app-1,581.051,1500
app-2,626.668,0.0
app-5,640.996,800.0
app-3,904.083,1700.0
app-3,1013.374,1700.0
app-3,1392.432,1700.0
